Intersection,LAT_DD,LONGTD_DD
N INTERSTATE AVE / N LOMBARD ST,45.577127742721665,-122.68208802247166
N INTERSTATE AVE / N LOMBARD ST,45.57713303955467,-122.68208883433267
NE SANDY BLVD / NE 91ST AVE,45.556447222194,-122.56880555599966
NE SANDY BLVD / NE 91ST AVE,45.556483784333,-122.56871523213867
PACIFIC HY I-5 / SB EF WILLIAMS C5,45.53122784802766,-122.66533790208301
PACIFIC HY I-5 / SB EF WILLIAMS C5,45.53278671552766,-122.665636822361
SE DIVISION ST / SE 156TH AVE,45.50438926,-122.503010579972
SE DIVISION ST / SE 156TH AVE,45.504389266416,-122.503010581666
SE FOSTER RD / SE 80TH AVE,,
SE FOSTER RD / SE 80TH AVE,45.48355833330534,-122.58088888897166
SE STARK ST / SE 112TH AVE,,
SE STARK ST / SE 112TH AVE,45.518969832027665,-122.54794999999933
